Company,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
Trident Group,3.3,(2k),5.6k,144,28,138
DHL Supply Chain,4.2,(2k),6.4k,131,53,142
CSB Bank,3.2,(2k),7.2k,110,1.1k,54
ICICI Home Finance,3.7,(1.9k),5.6k,104,8,100
Verizon,3.5,(1.9k),12.3k,136,2,207
NTPC,4.2,(1.9k),4.4k,192,--,192
Lucas-TVS,3.9,(1.9k),6.2k,98,19,215
Iris Software,3.7,(1.9k),8.1k,211,433,256
Infinx,3.7,(1.9k),5.6k,212,59,77
Rungta Mines,3.9,(1.9k),6.2k,213,--,75
Thomson Reuters,3.7,(1.9k),11k,142,109,230
Safexpress,3.9,(1.9k),5.6k,131,--,162
Google,4.4,(1.9k),36.9k,1.1k,411,143
NeoSOFT,3.2,(1.9k),11.1k,306,53,107
PI Industries,3.8,(1.9k),7k,141,12,174
Torrent Power,3.7,(1.9k),8k,169,65,158
Orchids International School,4.0,(1.9k),4k,435,19,121
Polycab Wires,4.0,(1.9k),7.4k,136,102,99
Jindal Saw,4.0,(1.9k),6.9k,151,47,188
Medi Assist India,3.4,(1.9k),7.5k,142,27,147
Hindustan Aeronautics,4.3,(1.9k),4.5k,92,2,183
Capri Global Capital,3.6,(1.9k),4.4k,77,7,49
Tekwissen,4.9,(1.9k),628,341,40,3
Tata Tele Business Services,3.4,(1.9k),4.6k,58,55,282
TVS Sundram Fasteners,3.6,(1.9k),6.7k,95,15,212
Fusion CX,3.2,(1.9k),4.6k,148,214,99
Infra.Market,3.9,(1.9k),3.9k,283,--,24
Aragen Life Sciences,3.9,(1.9k),6.6k,129,101,304
AXA Global Business Services,3.6,(1.9k),7.2k,108,10,178
KENT RO Systems,3.7,(1.9k),4.2k,107,14,111
First American (India),3.5,(1.9k),9.5k,101,87,177
Digit Insurance,3.6,(1.9k),6.3k,241,41,117
Haldiram Foods International Limited,3.8,(1.8k),6.1k,166,--,111
AkzoNobel,4.1,(1.8k),4.6k,145,20,137
Honda Cars,4.3,(1.8k),6.3k,116,--,188
Hindustan Petroleum,4.2,(1.8k),6.1k,119,--,141
Adani Green Energy,3.9,(1.8k),6.3k,168,1,91
DIVI'S Laboratories,3.6,(1.8k),6.8k,106,--,185
Innovsource Services,3.9,(1.8k),4.6k,79,--,126
Sterling & Wilson,4.1,(1.8k),6.6k,88,23,202
MetLife,4.0,(1.8k),9.7k,103,68,243
Cafe Coffee Day,3.7,(1.8k),3.7k,86,7,183
Air India,3.4,(1.8k),8.3k,229,42,173
Isgec Heavy Engineering,3.8,(1.8k),7k,148,77,141
Pine Labs,3.2,(1.8k),7.9k,142,6,124
Reckitt Benckiser,3.9,(1.8k),6.4k,107,84,180
USV,4.0,(1.8k),5.8k,90,58,179
SS&C TECHNOLOGIES,3.2,(1.8k),13.6k,202,183,198
USHA International,4.0,(1.8k),4.8k,120,17,174
LivSpace,3.3,(1.8k),8.3k,171,131,96
HDFC Securities,3.4,(1.8k),6.1k,129,48,151
XBP Global,3.1,(1.8k),7.6k,105,82,84
Annapurna Finance,3.8,(1.8k),3.8k,88,1,135
Kalyan Jewellers,4.4,(1.8k),1.6k,85,17,63
Granules India Limited,3.8,(1.8k),6.5k,87,4,171
Stellar Migration,1.3,(1.8k),2,2,--,8
Tata Communications Transformation Services,3.8,(1.8k),8.4k,101,--,171
Security and Intelligence Services (India),4.1,(1.8k),4.5k,85,32,136
BT Business,3.9,(1.8k),9.2k,90,--,269
Hitachi Astemo,4.0,(1.8k),6.6k,144,--,124
Bata,3.5,(1.8k),4.2k,90,1,129
BVG India,4.2,(1.8k),4.1k,177,113,109
Cushman & Wakefield,4.1,(1.8k),6.8k,128,23,142
Orange Business,4.0,(1.7k),9.2k,120,7,246
NielsenIQ,3.4,(1.7k),11.3k,240,12,66
TTEC India,3.7,(1.7k),5.6k,196,8,157
IIFL SAMASTA,3.7,(1.7k),3.2k,88,2,25
Mother Dairy Fruit & Vegetable,4.0,(1.7k),5.1k,105,4,157
Vedantu,3.2,(1.7k),7.9k,201,17,161
HighRadius,2.4,(1.7k),9.4k,217,82,90
Hinduja Leyland Finance,4.1,(1.7k),3.1k,92,5,170
Medanta the Medicity,4.0,(1.7k),5.2k,138,54,156
Dhani Loans and Services,3.9,(1.7k),4.1k,71,29,42
Future Retail,4.4,(1.7k),3.6k,61,--,252
Caterpillar Inc,4.1,(1.7k),11.6k,211,292,145
FactSet,3.6,(1.7k),10.9k,237,32,191
Metro Cash & Carry,4.0,(1.7k),4.9k,77,4,171
Cavinkare,3.9,(1.7k),5k,72,18,151
Sysnet Global Technologies,3.6,(1.7k),4.4k,143,8,87
Indian Navy,4.6,(1.7k),3.4k,40,--,248
Tata 1mg,3.6,(1.7k),7.3k,230,265,111
Patanjali Foods,3.7,(1.7k),4.7k,113,33,127
Clover Infotech,3.3,(1.7k),12.1k,145,198,105
Frankfinn Institute of Air Hostess Training,3.9,(1.7k),3.1k,130,40,175
Health Care Global Enterprises,4.4,(1.7k),2.9k,177,131,32
Compass Group Support Services,4.0,(1.7k),5.7k,92,31,147
L.G.Balakrishnan & Bros,3.5,(1.7k),5.9k,86,--,127
Labmentix,4.5,(1.7k),40,579,--,39
NEC,4.0,(1.7k),5.5k,81,4,82
Shriram Life Insurance,3.5,(1.7k),5k,118,86,98
KONE,4.1,(1.7k),5.8k,146,47,197
ReNew,4.2,(1.7k),6.7k,146,57,105
Rane (Madras),3.8,(1.7k),4.8k,99,35,166
Yamaha Motor,4.1,(1.7k),5.4k,97,--,178
DHL Express,4.1,(1.7k),6.2k,80,--,179
CG Power and Industrial Solutions,3.8,(1.7k),6.8k,110,--,222
MagicBricks,3.9,(1.7k),4.7k,350,14,74
Suryoday Small Finance Bank,3.9,(1.7k),4.5k,101,16,97
BA Continuum,3.9,(1.7k),10.1k,114,--,292
Vardhman Fabrics,4.0,(1.7k),5.3k,89,14,148
JSW Bhushan Power & Steel,4.0,(1.7k),4.8k,85,--,184
Matrimony.com,4.0,(1.7k),4.4k,116,36,84
Toyota Kirloskar Motor,4.3,(1.7k),4.8k,87,12,171
Procter & Gamble,4.0,(1.6k),5.8k,137,32,167
Coronis Ajuba Solutions,3.9,(1.6k),5.8k,95,22,145
Belrise Industries,3.7,(1.6k),6.2k,108,7,106
Goldman Sachs,3.3,(1.6k),21.5k,423,250,106
Johnson & Johnson,3.9,(1.6k),5.9k,118,74,191
CMA CGM,4.0,(1.6k),8.1k,105,30,215
Arvind Group,4.0,(1.6k),5.4k,88,--,303
Veritas Finance,4.2,(1.6k),2.3k,92,--,43
Krishna Maruti,3.8,(1.6k),5.3k,141,10,130
Wipro Enterprises Ltd,3.8,(1.6k),8.4k,215,--,450
Dixon Technologies,3.9,(1.6k),5.9k,157,26,124
Urban Company,3.3,(1.6k),7.4k,179,92,106
Chegg,4.1,(1.6k),4.1k,167,19,90
Godrej Industries Group,3.9,(1.6k),3.2k,156,2,168
Satin Creditcare Network,3.9,(1.6k),3.2k,69,4,137
Teva Pharmaceuticals,3.9,(1.6k),5.8k,122,32,187
Marico,3.8,(1.6k),5.9k,108,42,168
Welspun Living Limited,3.9,(1.6k),5.2k,93,2,155
Sanofi,4.0,(1.6k),6.2k,107,129,174
mPokket,4.5,(1.6k),1.7k,418,3,45
Tata Play,4.0,(1.6k),4.5k,90,1,186
HERE Technologies,3.7,(1.6k),7.6k,113,12,286
iOPEX Technologies,3.1,(1.6k),6.3k,95,26,539
IndiaFirst Life Insurance,3.8,(1.6k),4k,87,19,110
Hero Motors Company,3.9,(1.6k),6.2k,101,4,126
Supreme Industries,4.0,(1.6k),5.9k,102,--,118
Asahi India Glass,3.8,(1.6k),5.5k,118,5,136
Emami,3.8,(1.6k),5.3k,109,12,140
ZF Commercial Vehicle Control Systems,3.8,(1.6k),3.8k,85,4,9
Broadridge Financial Solutions,3.8,(1.6k),11.2k,165,64,143
Kotak Mahindra Prime,3.9,(1.6k),5.1k,73,--,69
Relaxo Footwear,4.0,(1.6k),4.6k,117,28,154
Cemindia Projects,4.2,(1.6k),3.4k,98,1,143
KFC,4.0,(1.6k),3.1k,89,--,161
Wockhardt,3.8,(1.6k),4.1k,66,27,182
Mercer,3.6,(1.6k),10.1k,98,--,210
SHYAM METALICS AND ENERGY,3.4,(1.6k),5k,158,127,54
PharmEasy,3.7,(1.6k),6.5k,122,3,154
IFB,3.6,(1.6k),5.4k,126,21,61
Lumax Industries,3.9,(1.6k),5.9k,107,38,133
Marriott International,4.1,(1.6k),4.7k,107,1.5k,186
Gujarat Fluorochemicals,3.9,(1.6k),6.8k,110,14,132
Amul India,4.0,(1.6k),4.3k,164,8,11
Muthoot Microfin,4.2,(1.6k),2.6k,86,9,70
Tata Consumer Products,3.5,(1.6k),6k,104,4,89
Bisleri,4.2,(1.6k),4.6k,128,19,151
Bajaj Capital,3.5,(1.6k),3.9k,170,108,103
Patra India,3.5,(1.6k),6.4k,120,1,90
Karur Vysya Bank,3.5,(1.6k),5k,112,20,64
Honda,4.0,(1.6k),3.8k,114,4,207
Suguna Foods,3.9,(1.5k),4.1k,97,26,137
Steel Strips Wheels,3.7,(1.5k),5.6k,89,13,124
Dainik Bhaskar Group,4.1,(1.5k),4.3k,85,80,149
Evalueserve,3.0,(1.5k),10.7k,142,60,139
GE VERNOVA,4.1,(1.5k),5.7k,114,3,11
Canara Bank,3.6,(1.5k),4.1k,53,--,105
Piramal Pharma,3.9,(1.5k),6.8k,134,52,112
American Broadcasting Company,4.0,(1.5k),37.2k,604,5,9
Tesco,3.6,(1.5k),9.4k,151,100,194
XL Dynamics,3.6,(1.5k),3.5k,97,16,199
Sonata Software,3.4,(1.5k),12.1k,145,221,90
Nayara Energy,4.2,(1.5k),6k,97,9,170
SAI Life Sciences,3.9,(1.5k),6.2k,110,55,135
GMR Group,3.9,(1.5k),4.7k,108,--,197
Oracle Cerner,3.3,(1.5k),9.7k,172,--,256
Tanishq,4.2,(1.5k),3.1k,118,2,76
Page Industries,4.1,(1.5k),5.1k,77,6,109
PNB Housing Finance,3.7,(1.5k),4.9k,57,8,97
Wheelseye Technology,3.4,(1.5k),4k,123,17,106
QualityKiosk Technologies,3.2,(1.5k),11.6k,166,272,101
Chetu,3.7,(1.5k),7.3k,235,9,156
Ashoka Buildcon,4.1,(1.5k),4.2k,82,7,132
Devyani International,3.8,(1.5k),3.6k,72,15,117
V5 Global Services,3.9,(1.5k),3.8k,96,8,72
Airtel Payments Bank,3.8,(1.5k),5.3k,119,22,111
Acuity Analytics,3.1,(1.5k),13.2k,184,191,83
Gland Pharma,4.0,(1.5k),6k,93,11,128
Amneal Pharmaceuticals,4.2,(1.5k),6.4k,87,54,148
Heritage Foods,4.1,(1.5k),3.8k,107,35,152
HCL Infosystems,4.0,(1.5k),6.4k,144,--,230
SBFC Finance,3.8,(1.5k),2.9k,103,58,56
Max Fashion,4.0,(1.5k),3.5k,78,16,177
Valeo,3.9,(1.5k),8.2k,109,124,135
ALTEN,3.5,(1.5k),8.8k,169,55,74
Daimler India Commercial Vehicles,3.9,(1.5k),6.8k,79,--,182
Apco Infratech,3.8,(1.5k),4.4k,144,12,114
Happiest Minds Technologies,3.4,(1.5k),13k,154,622,98
Indoco Remedies,3.4,(1.5k),5.7k,91,23,114
ISS Facility Services,4.0,(1.5k),4.2k,70,13,138
Honeywell Technology Solutions,3.6,(1.5k),11.4k,165,--,207
Apexon,3.3,(1.5k),9.7k,177,78,44
Altimetrik,3.5,(1.5k),12.8k,272,238,115
Aon,3.8,(1.5k),6.6k,94,62,213
Chandigarh University,4.2,(1.5k),2.8k,111,42,51
Bharat Forge,3.7,(1.5k),6.5k,80,6,126
Oberoi Group of Hotels,4.0,(1.5k),3.8k,96,--,235
Aumovio,3.7,(1.5k),9.5k,83,13,135
Jaquar,4.1,(1.5k),5.3k,91,30,126
Taurus BPO Services,4.0,(1.5k),994,35,2,516
Narayana Educational Society,3.6,(1.5k),4.1k,70,12,124
Hyatt Regency,4.0,(1.5k),3k,63,2,199
NIIT,3.5,(1.5k),6.1k,108,16,163
Morningstar,3.7,(1.5k),10.5k,268,55,131
CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,(1.5k),5k,91,--,7
City Union Bank,2.9,(1.5k),6.1k,131,3,72
Indegene,3.3,(1.5k),10k,178,19,134
AB InBev India,3.3,(1.5k),8k,119,68,149
Fusion Finance,3.9,(1.4k),3.2k,62,2,83
VOIS,3.7,(1.4k),9k,184,39,22
Sony,4.2,(1.4k),4.7k,92,9,195
Amara Raja Energy & Mobility,4.0,(1.4k),4.3k,118,43,118
Nykaa,3.4,(1.4k),7.1k,158,9,63
Aerial Telecom Solutions,4.2,(1.4k),2.4k,128,17,69
Tieto,4.1,(1.4k),9.5k,109,26,118
Agilus Diagnostics,4.1,(1.4k),3.3k,86,8,133
MedPlus,3.5,(1.4k),4.4k,112,34,67
Acmegrade,3.9,(1.4k),298,69,--,1
Slk Software Services,3.2,(1.4k),9.3k,115,1,91
TEKsystems,3.1,(1.4k),11.4k,139,17,83
Eaton,3.9,(1.4k),8.3k,154,11,130
Vfs Global Services,3.4,(1.4k),4.4k,73,8,121
DCM Shriram,4.1,(1.4k),5k,113,19,124
Adobe,3.7,(1.4k),13.5k,275,240,158
AtkinsRealis,3.7,(1.4k),6.2k,111,343,99
Hire In Global,4.9,(1.4k),8,303,--,35
TÜV SÜD,4.0,(1.4k),4k,108,163,112
Xiaomi,3.7,(1.4k),5.6k,113,7,134
Sansera Engineering,4.0,(1.4k),5.7k,98,2,115
Tenarai,3.5,(1.4k),11.2k,138,83,124
VLCC,3.2,(1.4k),3.3k,55,52,100
J. Kumar Infraprojects,4.1,(1.4k),4.4k,94,2,119
Kantar,3.5,(1.4k),6.9k,119,1,82
Oracle Financial Services Software,3.2,(1.4k),10.6k,200,--,187
Unisys,3.4,(1.4k),10.1k,81,29,151
EOSGlobe,3.0,(1.4k),4k,91,11,88
Citco,3.1,(1.4k),10.1k,172,88,57
Tata Group,4.2,(1.4k),5.7k,386,--,148
FedEx Express,4.0,(1.4k),5.4k,117,129,196
The Muthoot Group,3.6,(1.4k),3.6k,84,--,233
Rashmi Metaliks,3.1,(1.4k),4.9k,119,3,69
Worley,4.1,(1.4k),7.6k,140,166,119
IDC Technologies,3.0,(1.4k),6.8k,76,--,48
Novo Nordisk,3.6,(1.4k),6.6k,101,142,135
JSW Cement,4.1,(1.4k),4.3k,141,19,117
Sunknowledge Services,3.4,(1.4k),4k,110,10,210
R Systems International,3.7,(1.4k),7.6k,176,33,129
Fino Payments Bank,3.8,(1.4k),4k,64,27,104
Troikaa Pharmaceuticals,4.1,(1.4k),4k,124,13,112
iMerit,3.2,(1.4k),5.8k,119,7,102
Sharekhan,3.6,(1.4k),5.2k,100,52,116
Amity University,3.6,(1.4k),5.1k,118,11,125
Incedo,2.9,(1.4k),10.6k,212,81,117
TCS iON,3.8,(1.4k),4.1k,411,--,181
Bajaj Housing Finance,3.5,(1.4k),5.9k,73,64,60
INDIUM,3.9,(1.4k),7.1k,260,117,52
Paytm Payments Bank,3.8,(1.4k),5.6k,143,--,121
Aforeserve,3.4,(1.4k),3.6k,93,35,89
The Ramco Cements,4.1,(1.4k),4.4k,520,--,106
Unichem Laboratories,3.7,(1.4k),5.2k,96,53,131
Iffco Tokio General Insurance Co.,3.8,(1.4k),4.1k,52,--,114
Faurecia,3.9,(1.4k),6k,72,12,182
Grant Thornton,3.4,(1.4k),11.8k,120,249,89
TE Connectivity,4.1,(1.4k),7.6k,102,194,154
Bharat FIH,3.7,(1.4k),5.3k,92,--,76
Viraj Profiles,4.0,(1.4k),4.5k,101,13,150
FDC,3.7,(1.4k),3.8k,70,29,93
Burger King,3.9,(1.4k),3.5k,103,7,138
ZF Steering Gear,3.7,(1.4k),7.5k,62,11,99
Aptara,3.1,(1.4k),6.4k,79,10,118
Sheenlac Paints,4.1,(1.4k),1.7k,210,--,46
Brillio,3.4,(1.4k),10.9k,143,54,79
Hindware Limited,3.9,(1.4k),4.7k,88,7,135
CreditAccess Grameen,3.9,(1.4k),2.6k,55,16,75
DEXIT Global,3.4,(1.4k),5.6k,142,4,115
Hatsun Agro Product,3.8,(1.3k),4.8k,86,4,106
CenturyPly,3.8,(1.3k),4.5k,101,7,69
Decathlon,3.7,(1.3k),4.4k,120,1,122
GE,4.1,(1.3k),7.5k,116,10,140
Collabera Talent Solutions,3.5,(1.3k),6.9k,152,5,111
GEP Worldwide,3.6,(1.3k),9.6k,158,22,131
ManpowerGroup,3.6,(1.3k),5.3k,71,191,86
Baroda Global Shared Services,3.9,(1.3k),3.1k,135,32,37
RBL FinServe,3.9,(1.3k),3.1k,70,--,85
NetAmbit,4.0,(1.3k),3.1k,174,2,40
More Supermarket,3.6,(1.3k),4.1k,94,25,61
JioMart,3.9,(1.3k),4.3k,120,--,80
OM Logistics,3.9,(1.3k),4k,96,4,109
Punjab National Bank,3.8,(1.3k),3k,66,--,104
Nippon Paint India,4.0,(1.3k),4k,82,2,92
VIBGYOR Group of Schools,3.5,(1.3k),4.2k,101,209,106
Cinépolis,3.8,(1.3k),3k,83,2,153
Shubham Housing Development Finance,4.0,(1.3k),2.9k,53,5,79
SK Finance Limited,3.8,(1.3k),3.7k,91,--,20
Spicejet,3.3,(1.3k),5.1k,106,--,161
Atul,3.9,(1.3k),5.2k,103,1,118
NxtWave,3.5,(1.3k),3.5k,293,160,22
Astral Pipe,4.0,(1.3k),4.3k,96,97,34
Big Bazaar,4.4,(1.3k),2.2k,47,--,191
ICICI Prudential Mutual Fund,3.9,(1.3k),5.8k,90,--,92
Royal Migration Solutions,4.9,(1.3k),5,1,--,1
Mondelez International,4.1,(1.3k),4.8k,77,86,134
Ion Exchange India,3.7,(1.3k),5.3k,100,39,93
Globant,3.4,(1.3k),10.6k,210,96,104
Centre for Development of Advanced Computing,3.6,(1.3k),7k,126,1,65
Luminous Power Technologies,4.1,(1.3k),4.2k,100,19,129
Samsung Research,3.0,(1.3k),9.9k,150,1,146
Bluestock ™,4.5,(1.3k),63,389,--,1
OpenText Technologies,3.3,(1.3k),12.3k,197,32,90
Fabindia,3.7,(1.3k),4.1k,62,64,120
Aarvee Associates,3.7,(1.3k),3.4k,103,--,108
Pantaloons,4.1,(1.3k),2.9k,69,--,136
Jakson Group,4.1,(1.3k),4k,107,18,103
Hindustan Construction Company,4.2,(1.3k),3.2k,96,2,162
T-Systems ICT India,3.7,(1.3k),9k,113,26,98
Apex Group,2.6,(1.3k),8.5k,189,380,40
Tenneco,3.6,(1.3k),5.3k,72,18,122
Spandana Sphoorty Financial,3.8,(1.3k),2.4k,57,8,91
Vestas,4.1,(1.3k),5.5k,100,18,140
ANZ Banking Group,3.7,(1.3k),8.4k,110,20,105
Godrej Consumer Products,4.0,(1.3k),4.9k,62,--,123
Sigma Electric Manufacturing Corporation,4.0,(1.3k),2.8k,78,18,208
Panasonic,4.0,(1.3k),4.8k,52,17,153
Fresenius Kabi,4.0,(1.3k),4.2k,58,13,119
SKF,4.0,(1.3k),4.6k,78,46,157
Automotive Manufacturers,3.8,(1.3k),5.2k,106,61,77
H.G. Infra Engineering,4.0,(1.3k),3.3k,110,2,94
Electronics Corporation of India Limited,4.2,(1.3k),3.2k,63,5,106
AGS Transact Technologies,2.8,(1.3k),3.8k,45,--,130
Dassault Systemes,3.7,(1.3k),7.5k,190,2,138
KIMS Hospital,3.7,(1.3k),3.8k,63,7,82
DP World,3.8,(1.3k),5.3k,103,185,70
PNC Infratech,3.8,(1.3k),3.5k,83,--,82
Intertek,3.7,(1.3k),4k,85,70,118
Shriram Pistons & Rings,4.0,(1.3k),4.6k,78,4,141
Dell EMC,3.8,(1.3k),8.3k,74,--,193
Zoho,4.1,(1.3k),10.3k,589,--,104
Prodapt,3.5,(1.3k),10k,119,81,77
iSON Xperiences,3.1,(1.3k),3.3k,81,12,93
Mu Sigma,2.5,(1.3k),6.8k,254,--,123
Kalpataru Limited,4.1,(1.3k),4.6k,282,19,86
AIIMS,4.2,(1.3k),4.7k,71,--,69
Colliers India,3.9,(1.2k),4.9k,100,80,81
Synchrony,4.2,(1.2k),5.6k,95,17,204
Diageo,3.8,(1.2k),6.4k,94,34,109
Nielsen,3.0,(1.2k),6.8k,162,2,133
Oil And Natural Gas Corporation,4.3,(1.2k),3.1k,80,--,141
DLF,4.0,(1.2k),5.1k,102,--,79
Jindal X,3.5,(1.2k),2.8k,114,7,155
Indostar Capital Finance Limited,4.3,(1.2k),2.1k,201,1,45
Parexel International,3.8,(1.2k),6.1k,88,19,126
Rockman Industries,3.8,(1.2k),3.9k,98,22,102
ExcelR,3.6,(1.2k),1.1k,109,25,3
Wind World,4.0,(1.2k),3.3k,89,2,123
Fidelity Investments,4.1,(1.2k),8.2k,129,1,163
Rupeek,4.1,(1.2k),3.3k,134,29,60
Qualcomm,3.7,(1.2k),15.5k,300,27,137
JTEKT,4.1,(1.2k),4.4k,99,4,95
Ahluwalia Contracts India,4.0,(1.2k),3.6k,79,19,75
Kirloskar Oil Engines,4.1,(1.2k),4.3k,65,--,102
Strides Pharma,3.9,(1.2k),4.4k,81,--,158
DENSO,4.1,(1.2k),3.8k,86,4,180
EbixCash Limited,3.6,(1.2k),5.1k,110,3,74
Best Sellers,4.1,(1.2k),3k,34,1,133
JK Lakshmi Cement,3.7,(1.2k),3.8k,88,--,103
Innova Solutions,3.3,(1.2k),8.3k,104,97,26
ACG Worldwide,3.8,(1.2k),4k,86,45,47
Fidelity National Financial,3.7,(1.2k),6.3k,62,8,158
Genius HRTech,3.8,(1.2k),4k,76,4,73
Federal Bank,3.6,(1.2k),5.9k,121,--,76
Leadec India,4.1,(1.2k),3.6k,154,42,88
Zetwerk,4.0,(1.2k),4.2k,119,41,62
PHN Technology,4.2,(1.2k),394,42,--,3
Baazar Retail Private Limited,4.5,(1.2k),1.5k,88,3,22
Sri Chaitanya Techno Schools,3.5,(1.2k),3.6k,79,--,4
Intel,4.1,(1.2k),9.3k,242,62,92
Balkrishna Industries,4.0,(1.2k),4.3k,71,--,68
Schaeffler India,4.0,(1.2k),5.9k,69,13,113
Thyrocare Technologies,3.7,(1.2k),4.4k,88,21,96
Indira IVF Hospital,3.8,(1.2k),3.1k,79,79,82
Meril,3.6,(1.2k),5.1k,88,17,78
Aptiv,3.4,(1.2k),8.7k,127,13,50
Salesforce,3.9,(1.2k),14.9k,254,337,107
Aparna Constructions and Estates,3.9,(1.2k),4.1k,116,51,100
HFCL Limited,3.8,(1.2k),4.1k,86,2,92
Electronica Finance,4.1,(1.2k),2.7k,144,18,38
Prism Johnson,3.7,(1.2k),4.5k,72,19,69
PayPal,3.7,(1.2k),10.2k,243,--,122
FOCUS EDUMATICS,2.9,(1.2k),3.1k,128,--,40
Birla Corporation,4.0,(1.2k),3.8k,76,12,88
Apollo Health and Lifestyle Limited,4.3,(1.2k),3.5k,119,41,74
London Stock Exchange Group,3.6,(1.2k),11.3k,160,2,58
Imperial Auto Industries,3.8,(1.2k),4.9k,80,11,71
MDIndia Health Insurance TPA,3.6,(1.2k),3.8k,72,36,89
Podar International School,4.0,(1.2k),3.2k,82,2,116
The Jaypee Group,3.8,(1.2k),3.4k,53,11,121
Johnson Lifts,3.9,(1.2k),3.7k,50,10,95
IIFL Home Finance,3.8,(1.2k),3k,59,1.3k,23
Barclays Shared Services,3.8,(1.2k),4.6k,38,587,181
Dhoot Transmission,3.7,(1.2k),3.9k,71,1,110
Ocwen Financial Solutions,3.8,(1.2k),4.2k,53,34,171
Coca-Cola Company,4.0,(1.2k),3.3k,109,--,105
Deccan Fine Chemicals,3.6,(1.2k),5.2k,107,6,64
Nilkamal,3.7,(1.2k),3.7k,85,37,95
Motilal Oswal Home Finance,4.3,(1.2k),1.5k,127,--,27
Stanza Living,3.4,(1.2k),3.6k,127,15,84
Biocon Biologics,3.7,(1.2k),7k,113,3,355
CaratLane - A Tata Product,4.0,(1.2k),3.1k,68,13,82
Dishtv,3.4,(1.2k),3.3k,77,17,104
Bajaj Motors,3.9,(1.2k),3.4k,70,13,114
Edelweiss Life Insurance,3.7,(1.2k),3.7k,60,26,99
INDO-MIM,4.0,(1.2k),4.4k,79,17,116
Kohler,3.6,(1.1k),5.2k,79,6,76
Edelweiss,3.6,(1.1k),5.5k,65,6,135
Jacobs Engineering Group,4.2,(1.1k),5.4k,93,6,98
Navitasys India,4.0,(1.1k),2.7k,148,5,59
1Point1 Solutions Ltd,3.7,(1.1k),3.2k,84,77,93
Barbeque Nation,3.9,(1.1k),2.8k,51,7,122
Unicharm,3.9,(1.1k),2.9k,67,2,106
Jabil Circuit India,4.0,(1.1k),4.4k,72,74,90
Birla Opus,4.1,(1.1k),2.8k,105,--,18
Piaggio,3.6,(1.1k),3.8k,74,47,127
Advantmed,4.0,(1.1k),2.8k,172,18,57
Svatantra Microfin,3.9,(1.1k),2.2k,49,12,82
Asirvad Microfinance,3.8,(1.1k),2.3k,48,1,64
Onward Technologies Inc,2.8,(1.1k),6.3k,95,38,45
Air India Sats Airport Services,3.6,(1.1k),2.5k,70,--,78
V2 Retail,3.3,(1.1k),2.7k,93,45,91
TÜV NORD,3.7,(1.1k),4.1k,81,367,70
TK Elevator,3.8,(1.1k),4.4k,66,6,97
MG Motor,3.9,(1.1k),4.9k,82,22,80
Hyundai Mobis,3.7,(1.1k),5.2k,80,9,129
Zydus Wellness,4.1,(1.1k),2.7k,109,23,77
Innodata India Private Limited,3.7,(1.1k),3.2k,199,74,61
MAHLE ANAND Filter Systems,3.9,(1.1k),3.6k,42,--,116
Sundaram Finance,3.9,(1.1k),3k,51,9,90
Wonder Home Finance,4.6,(1.1k),788,192,13,10
ICON Plc,4.0,(1.1k),4.6k,149,4,58
Knorr-Bremse,3.2,(1.1k),5.2k,73,9,119
Kirloskar Brothers,3.7,(1.1k),4.5k,93,37,99
Godrej Agrovet,3.9,(1.1k),3.6k,64,5,83
Hikal,3.8,(1.1k),4.7k,76,8,88
Wistron,4.0,(1.1k),5.2k,93,--,131
Tube Investments of India,3.8,(1.1k),3.7k,70,25,54
Unity Small Finance Bank,3.6,(1.1k),4.3k,80,20,20
Vedanta Aluminium Metal,3.8,(1.1k),4.6k,72,--,117
Syngenta,4.2,(1.1k),3.8k,83,10,98
Sri Chaitanya Educational Institutions,3.6,(1.1k),3.1k,52,2,67
Aarvi Encon,4.0,(1.1k),3k,87,301,72
Hinduja Housing Finance,3.7,(1.1k),3k,48,49,34
Tata Capital Housing Finance,4.0,(1.1k),3.3k,54,--,6
HPCL-Mittal Energy Limited,4.3,(1.1k),4.7k,47,--,107
Saipem,4.2,(1.1k),3.4k,55,16,151
CALIBEHR,3.9,(1.1k),2.7k,70,14,63
VMware Software,4.4,(1.1k),8.8k,146,28,130
Gmmco,4.0,(1.1k),2.9k,53,10,113
Hitachi Energy,4.0,(1.1k),7.8k,129,485,66
TKIL,4.1,(1.1k),4.6k,77,16,95
Adani Ports and SEZ,3.6,(1.1k),4k,77,--,124
Pernod Ricard,3.5,(1.1k),4.6k,63,5,112
GAIL,4.4,(1.1k),3.3k,82,--,90
SLMG Beverages,3.9,(1.1k),3.5k,73,1,38
Thermo Fisher Scientific,3.8,(1.1k),6.9k,109,285,96
Malabar Gold and Diamonds,4.1,(1.1k),2.8k,103,59,75
Northcorp Software,4.8,(1.1k),225,865,6,54
Power Grid Corporation of India,4.3,(1.1k),2.1k,80,--,79
Metropolis Healthcare,3.9,(1.1k),3.7k,70,17,75
Vayona Energy,4.0,(1.1k),4.9k,60,--,104
Dana Anand,4.0,(1.1k),3k,56,--,128
Shyam Steel Group,3.5,(1.1k),3.8k,85,8,53
Aspire Systems,3.8,(1.1k),9.9k,131,93,87
Fractal Analytics,4.0,(1.1k),11.7k,233,332,115
